name,inc_date,start_date,status,address,taxid,phone,buss_cls,owner
CÔNG TY TNHH MTV THƯƠNG MẠI VÀ DỊCH VỤ BÌNH AN - QUẢNG NINH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Lô N11, Khu 5B, Đường Hạ Long, Phường Bãi Cháy, Thành Phố Hạ Long, Quảng Ninh",5702108331,0972622666,Công Ty TNHH MTV Ngoài Quốc Doanh,Phạm Hữu Tuân
CÔNG TY TRÁCH NHIỆM HỮU HẠN MMA-6789,14/01/2022,14/01/2022, Đang Hoạt Động ,"Bản Mường Mươn 2, Xã Mường Mơn, Huyện Mường Chà, Điện Biên",5600341089,0868131380,Công Ty TNHH MTV Ngoài Quốc Doanh,Lụa Thị Hoa
CÔNG TY TNHH SƠN TRANG HÒA BÌNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ Dân Phố Ngọc 2, Phường Trung Minh, Thành Phố Hoà Bình, Hòa Bình",5400531237,0377799452,Công Ty TNHH MTV Ngoài Quốc Doanh,Kim Ngọc Sơn
CÔNG TY TNHH XÂY LẮP ĐIỆN VÀ THƯƠNG MẠI HOÀNG TIẾN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Quy Hậu, Xã Hòa Trị, Huyện Phú Hoà, Phú Yên",4401095687,0935341320,Công Ty TNHH MTV Ngoài Quốc Doanh,Hà Minh Hoàng
CÔNG TY TNHH AN TIẾN THIÊN,14/01/2022,04/01/2022, Đang Hoạt Động ,"Thôn Mỹ Thạnh Trung 1, Xã Hòa Phong, Huyện Tây Hoà, Phú Yên",4401095609,0977394505,Công Ty TNHH MTV Ngoài Quốc Doanh,Lưu Quốc Thiên
CÔNG TY TNHH A.Y.G,14/01/2022,14/01/2022, Đang Hoạt Động ,"10/18 Đường Gò Cây Sung, Xã Vĩnh Ngọc, Thành Phố Nha Trang, Khánh Hòa",4201947736,02583956622,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Thị Hoàng Tú
CÔNG TY CỔ PHẦN KHOÁNG SẢN ĐẠI PHÚC,14/01/2022,14/01/2022, Đang Hoạt Động ,"Lô Cc-A Đường 2A, Khu Đô Thị Biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",4201947729,02586251449,Công Ty Cổ Phần Có Vốn ĐTNN Dưới 51%,Nguyễn Tô Đông
CÔNG TY CỔ PHẦN HỘI TÀI,14/01/2022,14/01/2022, Đang Hoạt Động ,"Lô Cc-A Đường 2A, Khu Đô Thị Biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",4201947711,02586251449,Công Ty Cổ Phần Có Vốn ĐTNN Dưới 51%,Nguyễn Tô Đông
CÔNG TY TNHH YẾN SAN,14/01/2022,14/01/2022, Đang Hoạt Động ,"57 Lê Đại Hành, Thị Trấn Vạn Giã, Huyện Vạn Ninh, Khánh Hòa",4201947704,0902909171,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Đạt Công Hải
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ QUẢNG CÁO TÂN THANH QUYỀN,14/01/2022,14/01/2022, Đang Hoạt Động ,"29 Lam Sơn, Phường Phước Hòa, Thành Phố Nha Trang, Khánh Hòa",4201947694,078 419 6979,Công Ty TNHH MTV Ngoài Quốc Doanh,Võ Thanh Quyền
CÔNG TY TNHH THÁI KHANG NEST,14/01/2022,14/01/2022, Đang Hoạt Động ,"77 Minh Mạng, Phường Ninh Hiệp, Thị Xã Ninh Hoà, Khánh Hòa",4201947687,0931546468,Công Ty TNHH MTV Ngoài Quốc Doanh,Đặng Xuân Đạt
CÔNG TY TNHH XÂY DỰNG SỐ 33 CAM LÂM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tdp Tân Hải, Thị Trấn Cam Đức, Huyện Cam Lâm, Khánh Hòa",4201947662,0905912386,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Thị Diễm Phương
CÔNG TY TNHH XÂY DỰNG VÀ SAN LẮP MẶT BẰNG HƯNG THỊNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Thống Nhất, Xã Cam Phước Đông, Thành Phố Cam Ranh, Khánh Hòa",4201947655,0978017009,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Tiến Sơn
CÔNG TY TRÁCH NHIỆM HỮU HẠN THANH TRANG KHÁNH HÒA,14/01/2022,14/01/2022, Đang Hoạt Động ,"15 Trần Văn Ơn, Phường Lộc Thọ, Thành Phố Nha Trang, Khánh Hòa",4201947648,0944817403,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lê Thị Thanh Trang
CHI NHÁNH CÔNG TY TNHH HELEN SOLAR - YẾN KHÁNH HÒA,14/01/2022,14/01/2022, Đang Hoạt Động ,"2013 Đại Lộ Hùng Vương, Phường Cam Thuận, Thành Phố Cam Ranh, Khánh Hòa",4201893618-001,0982715928,Công Ty TNHH MTV Ngoài Quốc Doanh,Bùi Thị Hương
CÔNG TY TNHH XUẤT NHẬP KHẨU JADE RIVER,14/01/2022,14/01/2022, Đang Hoạt Động ,"7/15 Hẻm 15, Đường Trần Hưng Đạo, Khu Phố 1, Phường 1, Thành Phố Tây Ninh, Tây Ninh",3901323611,0943979760,Công Ty TNHH MTV Ngoài Quốc Doanh,Huỳnh Anh Vũ
CHI NHÁNH CÔNG TY TNHH SUẤT ĂN CÔNG NGHIỆP GIA PHÚC,14/01/2022,14/01/2022, Đang Hoạt Động ,"Đường Số 23, Ấp Suối Cao A, Xã Phước Đông, Huyện Gò Dầu, Tây Ninh",3901311038-001,0784676050,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Ngọc Minh Tuyền
CHI NHÁNH SỐ 02 - CÔNG TY TNHH MTV GIÁO DỤC THÀNH SƠN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ 5, Ấp Long Châu, Xã Long Khánh, Huyện Bến Cầu, Tây Ninh",3901303326-002,,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thành Sơn
CHI NHÁNH NHÀ HÀNG ĂN UỐNG KARAOKE GIA ĐÌNH THIÊN THANH - CÔNG TY TNHH THIÊN LỘC,14/01/2022,14/01/2022, Đang Hoạt Động ,"258 Quốc Lộ 14, Phường Tân Đồng, Phường Tân Đồng, Thành Phố Đồng Xoài, Bình Phước",3800373831-006,0987999919,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Võ Tiến Sỹ
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH NEWTIME,14/01/2022,14/01/2022, Đang Hoạt Động ,"207A Quốc Lộ 1A, Khu Phố Quyết Thắng, Phường Bình Thắng, Thành Phố Dĩ An, Bình Dương",3703031511,0949127138,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Thị Yến Nhi
CÔNG TY TRÁCH NHIỆM HỮU HẠN DỊCH VỤ BẢO VỆ RỒNG VIỆT NLC,14/01/2022,14/01/2022, Đang Hoạt Động ,"1254/4A Đường Đỗ Tấn Phong, Khu Phố Đông Thành, Phườngtân Đông Hiệp, Thành Phố Dĩ An, Bình Dương",3703031494,0865930491,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trương Thế Nghĩa
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TAC,14/01/2022,14/01/2022, Đang Hoạt Động ,"154 Đường Đt743A, Khu Phố Đông An, Phườngtân Đông Hiệp, Thành Phố Dĩ An, Bình Dương",3703031487,0905295683,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Hồ Trúc Phương
CÔNG TY TNHH COUTUDI (VIỆT NAM),14/01/2022,14/01/2022, Đang Hoạt Động ,"Lô C-12C-Cn, Khu Công Nghiệp Bàu Bàng Mở Rộng, Xã Long Tân, Huyện Dầu Tiếng, Bình Dương",3703031430,18606032888,Công Ty TNHH 2 Thành Viên Trở Lên (100% Vốn ĐTNN),"Chen, Qi Ping"
CÔNG TY TNHH TA TRẦN VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Lô B_3A5_Cn Đường Ne5, Khu Công Nghiệp Mỹ Phước 3, Phường Thới Hòa, Thị Xã Bến Cát, Bình Dương",3703031423,0918732296,Công Ty TNHH 2 TV Trở Lên Có Vốn ĐTNN Từ 51% Đến Dưới 100%,Trần Thị Kim Thy
CÔNG TY TNHH ZA FOOD,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thửa Đất Số 3351, Tờ Bản Đồ Số 42, Đường Tân Long, Khu Phố Đ, Phườngtân Đông Hiệp, Thành Phố Dĩ An, Bình Dương",3703031416,0983621618,Công Ty TNHH MTV Ngoài Quốc Doanh,Dương Văn Hưng
CÔNG TY TNHH Y TẾ MEDIC TÂM ANH,14/01/2022,14/01/2022, Đang Hoạt Động ,"771/7A Đường Lê Hồng Phong, Khu Phố Chiêu Liêu, Phườngtân Đông Hiệp, Thành Phố Dĩ An, Bình Dương",3703031409,0979305115,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Phạm Văn Khánh
CÔNG TY TNHH THỰC PHẨM KHÁNH VY,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số Nhà 32, Lô A32, Đường Nguyễn Thị Khắp, Khu Phố Chiêu Liêu, Phườngtân Đông Hiệp, Thành Phố Dĩ An, Bình Dương",3703031399,0912432835,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Hiền
CÔNG TY TNHH NAVINO VIET NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"501/6A Khu Phố Chiêu Liêu, Đường Nguyễn Thị Minh Khai, Phườngtân Đông Hiệp, Thành Phố Dĩ An, Bình Dương",3703031381,0909718188,Công Ty TNHH MTV Ngoài Quốc Doanh,Đinh Minh Vương
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MAY MẶC THANH TÙNG PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"409/2 Nguyễn Tri Phương, Khu Phố Bình Đường 4, Phường An Bình, Thành Phố Dĩ An, Bình Dương",3703031374,0933457899,Công Ty TNHH MTV Ngoài Quốc Doanh,Ngô Thị Mận
CÔNG TY CỔ PHẦN GỖ HHT,14/01/2022,14/01/2022, Đang Hoạt Động ,"24/19 Phan Bội Châu, Khu Phố Đông Tân, Phường Dĩ An, Thành Phố Dĩ An, Bình Dương",3703031367,0855815555,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Phan Văn Hải
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH NGUYÊN KHÔI,14/01/2022,14/01/2022, Đang Hoạt Động ,"322/8 Võ Thị Sáu, Khu Phố Tây A, Phường Đông Hòa, Thành Phố Dĩ An, Bình Dương",3703031342,0937070266,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Khôi Nguyên
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ NTC,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 178 Đường Nguyễn Trãi, Khu Phố Thống Nhất 1, Phường Dĩ An, Thành Phố Dĩ An, Bình Dương",3703031328,0989723991,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Quỳnh Nguyên
CÔNG TY TNHH THUỐC LÁ LONG THÀNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ 06, Khu Bàu Cá, Xã An Phước, Huyện Long Thành, Đồng Nai",3603851292,0917778303,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Hiếu
CÔNG TY CỔ PHẦN MỘC 22,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ 8, Ấp 3, Xã Tân Hiệp, Huyện Long Thành, Đồng Nai",3603851285,0937 452 212,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lê Văn Tuấn
CÔNG TY TNHH TÂN THỊNH ĐỒNG NAI,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ 6, Ấp An Lâm, Xã Long An, Huyện Long Thành, Đồng Nai",3603851052,0782525584,Công Ty TNHH MTV Ngoài Quốc Doanh,Vũ Thị Bích Chi
CHI NHÁNH CÔNG TY TNHH KINH DOANH NHÀ NGHỈ KHÁCH SẠN NGỌC ANH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Hẻm Số 837, Đường Hùng Vương Ấp 2, Xã Long Thọ, Huyện Nhơn Trạch, Đồng Nai",3603768502-001,0898903930,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Mạnh Hưng
CHI NHÁNH BÌNH THUẬN - CÔNG TY TNHH ĐO ĐẠC-XD-TM HÀ NAM THÀNH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số Nhà 42, Thôn Phú Khánh, Xã Hàm Mỹ, Huyện Hàm Thuận Nam, Bình Thuận",3602427901-002,0985180847,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Văn Hải
VĂN PHÒNG ĐẠI DIỆN 2 TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY TRÁCH NHIỆM HỮU HẠN TOÀN THẮNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 8 Phạm Văn Hai, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",3500659519-012,,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trần Minh Hùng
CÔNG TY TNHH QT TÂY TIẾN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Khu Phố 4, Thị Trấn Cam Lộ, Huyện Cam Lộ, Quảng Trị",3200728634,0918 078 919,Công Ty TNHH MTV Ngoài Quốc Doanh,Phạm Thị Như Ý
CÔNG TY CỔ PHẦN SẢN XUẤT BAO BÌ VÀ IN HÀ AN,14/01/2022,14/01/2022, Đang Hoạt Động ,"Khu Công Nghiệp Quán Ngang, Xã Gio Quang, Huyện Gio Linh, Quảng Trị",3200728627,0972 881 811,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Lưu Văn Biên
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI MINH KHÔI,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ Dân Phố 11, Phường Bắc Lý, Thành Phố Đồng Hới, Quảng Bình",3101112812,0354 117 373,Công Ty TNHH MTV Ngoài Quốc Doanh,Bùi Tuấn Anh
CÔNG TY CỔ PHẦN BÊ TÔNG NHIỆT ĐIỆN,14/01/2022,14/01/2022, Đang Hoạt Động ,"32A Nguyễn Hữu Cảnh, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",3101112795,0232 3842810,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Danh Thành
CÔNG TY TNHH XÂY DỰNG HOÀNG HẢI DƯƠNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ Dân Phố 3 Phương Xuân, Phường Bắc Nghĩa, Thành Phố Đồng Hới, Quảng Bình",3101112788,0972 589 333,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Văn Hải
CÔNG TY TNHH TIN HỌC DTL,14/01/2022,14/01/2022, Đang Hoạt Động ,"92 Nguyễn Thái Học, Tdp 11, Phường Nam Lý, Thành Phố Đồng Hới, Quảng Bình",3101112770,0847847888,Công Ty TNHH MTV Ngoài Quốc Doanh,Đinh Tiến Long
CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN DỊCH VỤ PHƯƠNG LINH,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tiểu Khu 1, Thị Trấn Đồng Lê, Huyện Tuyên Hoá, Quảng Bình",3101112763,0948 603 339,Công Ty TNHH MTV Ngoài Quốc Doanh,Hà Thị Thu Hiền
CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI MAY PDT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Trung Bằng, Xã Sơn Bằng, Huyện Hương Sơn, Hà Tĩnh",3002251484,0948186776,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Ngọc Duy
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ PHÁT TRIỂN TÂM TÍN PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Uy Bắc, Xã Quảng Ngọc, Huyện Quảng Xương, Thanh Hoá",2803010270,0974626313,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Văn Học
CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI TỔNG HỢP DŨNG PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Khu Đất Mới, Cống Hòa Vang, Xã Tân Dĩnh, Huyện Lạng Giang, Bắc Giang",2400931712,039 5754259,Công Ty TNHH MTV Ngoài Quốc Doanh,Vũ Chí Dân
CÔNG TY CỔ PHẦN I ONE VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Khu 2, Thị Trấn Nếnh, Huyện Việt Yên, Bắc Giang",2400931705,0913228689,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Bùi Hồng Quang
CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN TÂN PHÁT VIỆT NAM,14/01/2022,14/01/2022, Đang Hoạt Động ,"Phố Kì Anh, Thị Trấn Đồi Ngô, Huyện Lục Nam, Bắc Giang",2400931695,0833262628/097746318,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Thị Đoan
CÔNG TY TNHH XNK VÀ DỊCH VỤ VẬN TẢI BÌNH AN PHÁT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tdp Chàng 1, Thị Trấn Đồi Ngô, Huyện Lục Nam, Bắc Giang",2400931688,0985178679,Công Ty TNHH MTV Ngoài Quốc Doanh,Mai Văn Trọng
CÔNG TY TNHH ACRYLIC SHEET KOREA,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ Dân Phố Chám, Thị Trấn Cao Thượng, Huyện Tân Yên, Bắc Giang",2400931670,0982111494,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Hoàng Văn Đại
CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN UFA,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 267, Phố Bình Minh, Thị Trấn Đồi Ngô, Huyện Lục Nam, Bắc Giang",2400931656,0372037866,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Vũ Tuấn Anh
CÔNG TY TNHH TƯ VẤN ASIA LAW,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số Nhà 224 Đường Thân Nhân Tín, Phường Thọ Xương, Thành Phố Bắc Giang, Bắc Giang",2400931631,0972468908,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Quang Thuyên
